Symbol;Company;Industry
PFSE.DE;PFISTERER Holding SE;Electrical products
DUE.DE;Durr AG;Industrial machinery
WUW.DE;Wuestenrot & Wuerttembergische AG;Multi-line insurance
ACT.DE;Alzchem Group AG;Chemicals: major diversified
WAC.DE;Wacker Neuson SE;Trucks/Construction/Farm machinery
RDC.DE;Redcare Pharmacy N.V.;Medical distributors
DOU.DE;Douglas AG;Specialty stores
DRW8.DE;Draegerwerk AG & Co. KGaA;Medical specialties
DEZ.DE;DEUTZ AG;Trucks/Construction/Farm machinery
TNIE.DE;tonies SE Class A;Recreational products
YSN.DE;secunet Security Networks AG;Information technology services
ADV.DE;Adtran Networks SE;Telecommunications equipment
JEN.DE;Jenoptik AG;Electronic components
PSM.DE;ProSiebenSat.1 Media SE;Movies/Entertainment
S92.DE;SMA Solar Technology AG;Electrical products
BFSA.DE;Befesa SA;Environmental services
TIMA.DE;ZEAL Network SE;Movies/Entertainment
VBK.DE;Verbio SE;Chemicals: specialty
EVT.DE;Evotec SE;Pharmaceuticals: major
EUZ.DE;Eckert & Ziegler SE;Medical specialties
1INN.DE;Innoscripta AG;Packaged software
NCH2.DE;thyssenkrupp nucera AG & Co. KGaA;Engineering & construction
NA9.DE;Nagarro SE;Information technology services
NB2.DE;Northern Data AG;Data processing services
EIN.DE;Einhell Germany AG Pref;Tools & hardware
HFG.DE;HelloFresh SE;Internet retail
TMV.DE;TeamViewer SE;Internet software/Services
CHG.DE;CHAPTERS Group AG;Packaged software
GXI.DE;Gerresheimer AG;Containers/Packaging
FQT.DE;Frequentis AG;Packaged software
HYQ.DE;Hypoport SE;Packaged software
COK.DE;CANCOM SE;Information technology services
RHK.DE;RHON-KLINIKUM AG;Hospital/Nursing management
MBB.DE;MBB SE;Financial conglomerates
PNE3.DE;PNE AG;Alternative power generation
JST.DE;JOST Werke SE;Auto parts: OEM
CWC.DE;CEWE Stiftung & Co. KGaA;Specialty stores
MLP.DE;MLP SE;Investment managers
TGHN.DE;Logwin AG;Trucking
MUM.DE;Mensch und Maschine Software SE;Information technology services
STO3.DE;Sto SE & Co. KGaA Vorz-Inhaber-Akt ohne Stimmrecht;Building products
GLJ.DE;GRENKE AG;Finance/Rental/Leasing
INH.DE;INDUS Holding AG;Miscellaneous manufacturing
PAT.DE;PATRIZIA SE;Financial conglomerates
SFQ.DE;SAF-HOLLAND SE;Auto parts: OEM
ADN1.DE;adesso SE;Miscellaneous commercial services
SMHN.DE;SUSS MicroTec SE;Electronic equipment/Instruments
PBB.DE;Deutsche Pfandbriefbank AG;Major banks
WSU.DE;WashTec AG;Industrial machinery
MUX.DE;Mutares SE & Co. KGaA;Investment managers
SIS.DE;First Sensor AG;Semiconductors
HDD.DE;Heidelberger Druckmaschinen AG;Information technology services
KCO.DE;Kloeckner & Co SE;Steel
MUB.DE;Muhlbauer Holding AG & Co. KGaA;Computer peripherals
SHF.DE;SNP Schneider-Neureither & Partner SE;Information technology services
D6H.DE;DATAGROUP SE;Information technology services
2GB.DE;2G Energy AG;Electric utilities
STM.DE;Stabilus SE;Auto parts: OEM
